epoch,total,imputation,forecast,log_var_1,log_var_2
1,-0.42959,0.02265,0.0222,-0.939,-0.939
2,-1.32844,0.01975,0.0136,-1.852,-1.866
3,-2.16733,0.01529,0.01114,-2.724,-2.758
4,-2.90566,0.01187,0.00894,-3.516,-3.581
5,-3.52022,0.00902,0.00656,-4.186,-4.309
6,-3.93038,0.00803,0.00501,-4.627,-4.899
7,-4.11527,0.0076,0.0045,-4.839,-5.264
8,-4.22405,0.00738,0.00387,-4.919,-5.495
9,-4.25864,0.00721,0.00374,-4.957,-5.584
10,-4.27856,0.0071,0.00365,-4.978,-5.623
11,-4.29454,0.00701,0.00358,-4.993,-5.648
12,-4.30699,0.00694,0.00353,-5.005,-5.665
13,-4.31911,0.00687,0.00348,-5.018,-5.681
14,-4.32777,0.00681,0.00345,-5.028,-5.692
15,-4.33577,0.00676,0.00342,-5.036,-5.701
