Time (s),Root Detector ID,Vehicle ID,Vehicle Type,Speed (m/s),Direction,CO2 Emission (mg)
3.0,42432585_42439996_569345540#4,veh_614,car_cautious,0.0,Unknown,2624.722222222222
4.0,42432585_42439996_569345540#4,veh_614,car_cautious,1.3322865862585604,Down,2928.471777398698
5.0,42432585_42439996_569345540#4,veh_614,car_cautious,3.223783893473447,Down,3877.5072150145993
6.0,42432585_42439996_569345540#4,veh_614,car_cautious,5.286637554112823,Down,5000.892889251127
7.0,42432585_42439996_569345540#4,veh_614,car_cautious,7.2312948329374205,Down,5762.5473347177995
8.0,42432585_42439996_569345540#4,veh_614,car_cautious,9.199640718158335,Down,6815.612483159416
9.0,42432585_42439996_569345540#4,veh_614,car_cautious,10.315751727148891,Down,5122.801035709983
10.0,42428308_42428307_1136460177#1,veh_626,car_cautious,1.5898045663163067,Unknown,3097.1151974983613
10.0,42432585_42439996_569345540#4,veh_614,car_cautious,11.645963735374808,Down,6216.485871457291
11.0,42428308_42428307_1136460177#1,veh_626,car_cautious,2.7095406131073836,Down,3121.645892289805
11.0,42432585_42439996_569345540#4,veh_614,car_cautious,11.787704674619436,Down,2621.546848673281
12.0,42428308_42428307_1136460177#1,veh_626,car_cautious,4.345287148114295,Down,4061.9046584843063
13.0,42428308_42428307_1136460177#1,veh_626,car_cautious,5.658392700999976,Down,4078.6531874445263
13.0,42439996_42439994_167922071#1,veh_614,car_cautious,10.886851033101976,Down,0.0
14.0,42428308_42428307_1136460177#1,veh_626,car_cautious,7.376755857020617,Down,5398.954340510057
14.0,42439996_42439994_167922071#1,veh_614,car_cautious,11.152834010514617,Down,2927.328086924706
15.0,42428308_42428307_1136460177#1,veh_626,car_cautious,9.28174107996747,Down,6705.697865158023
15.0,42439996_42439994_167922071#1,veh_614,car_cautious,10.974290777648985,Down,1635.4767507872496
16.0,42428308_42428307_1136460177#1,veh_626,car_cautious,10.650667785201222,Down,5933.792077188406
16.0,42439996_42439994_167922071#1,veh_614,car_cautious,11.84293956227526,Down,4870.674822771008
17.0,42428308_42428307_1136460177#1,veh_626,car_cautious,11.774493810720742,Down,5634.562606920231
17.0,42435663_42437363_reverse_-525729008#1,veh_923,car_cautious,1.51336257038638,Unknown,3043.338093165458
17.0,42437363_42435663_reverse_-525729008#1,veh_923,car_cautious,1.51336257038638,Down,3043.338093165458
17.0,42439996_42439994_167922071#1,veh_614,car_cautious,11.68800983536914,Down,1708.567643155751
18.0,42428308_42428307_1136460177#1,veh_626,car_cautious,12.543925637504191,Down,4748.221247893736
18.0,42435663_42437363_reverse_-525729008#1,veh_923,car_cautious,3.587953661121428,Right,4200.523414391461
18.0,42437363_42435663_reverse_-525729008#1,veh_923,car_cautious,3.587953661121428,Down,4200.523414391461
18.0,42439996_42439994_167922071#1,veh_614,car_cautious,8.365736572923263,Down,0.0
19.0,42435663_42437363_reverse_-525729008#1,veh_923,car_cautious,4.888553382232786,Right,3835.3633649446265
19.0,42437363_42435663_reverse_-525729008#1,veh_923,car_cautious,4.888553382232786,Down,3835.3633649446265
19.0,42439996_42439994_167922071#1,veh_614,car_cautious,4.542943983947983,Down,0.0
