edge,longitude,latitude
42428287_42428283,-73.98654761906826,40.75543646172955
42428287_42437363,-73.98668664206271,40.75592832870646
42428287_42430333,-73.98527139393907,40.75533078266942
42428297_42439984,-73.9857725259943,40.7576528814792
42428297_42432700,-73.98696043887762,40.75855956308391
42428303_42435677,-73.98630715988958,40.75992107478385
42428305_42439996,-73.98449724358643,40.75997718418255
42428305_42428303,-73.9849983502137,40.75978985884673
42428307_42428305,-73.98461259543447,40.76044633772748
42428307_42432589,-73.98554293368927,40.76123683255058
42428308_42440001,-73.98367425970746,40.76127278011352
42428308_42428307,-73.98430989030976,40.76112744165396
42428310_42435687,-73.98466314126226,40.76250072069655
42428310_42428308,-73.98388807100493,40.7617679322076
42428312_42440009,-73.98280695494377,40.7625361027353
42428312_42428310,-73.983467955309,40.76241102710078
42428313_42435705,-73.98382235044099,40.76377068060625
42428313_42428312,-73.9830802845504,40.763059006171964
42428315_42440015,-73.98197679822091,40.763823018696016
42428315_42428313,-73.9827105829028,40.76372007591621
42428321_42428315,-73.98238538235796,40.76442110252621
42428321_42435710,-73.98303626362623,40.76511640604754
42428328_42428321,-73.98214491408021,40.76512591624755
42430329_42430333,-73.98435757753009,40.754509914205784
42430333_42430338,-73.98387085892954,40.75517889652873
42430333_42428287,-73.98527139393907,40.75533078266942
42430333_42437358,-73.9824990807464,40.7541599539828
42430338_42430342,-73.98339518963745,40.755829005809545
42430338_42439981,-73.98504100694578,40.75611298544057
42430342_42443556,-73.98155441957024,40.7554631030985
42430342_42430344,-73.98293919642983,40.75645668356832
42430344_42430347,-73.98248283964895,40.757080766221996
42430344_42428297,-73.98412264309796,40.75736731721902
42430347_42434072,-73.98063957154683,40.756710468017694
42430347_42430350,-73.98202561528082,40.75770326107261
42430350_42439994,-73.98320926856083,40.75861752760415
42430350_42430352,-73.98156919238768,40.75833060834603
42430352_42443528,-73.97972520411516,40.75796571677851
42430352_42430356,-73.98111181604038,40.75895963914135
42430356_42430358,-73.98065023125908,40.75959252285825
42430356_42432585,-73.98229448678313,40.75986888140422
42430358_42440153,-73.97881287813118,40.75922535493216
42430358_42430361,-73.98019539067168,40.76021805512484
42430361_42430363,-73.97974244121129,40.760840679946334
42430361_42440004,-73.98138866587236,40.76112420658069
42430363_42430367,-73.97928806361588,40.76146510988681
42430363_42446353,-73.97790043926814,40.76047917814446
42430367_42440012,-73.98048098420749,40.762367999479096
42430367_42430371,-73.97883598589019,40.76208638973344
42430371_42450426,-73.97699410886457,40.76172411087802
42430371_42430375,-73.97837476096345,40.76272035797348
42430375_42440020,-73.97955708710377,40.7636388688247
42430375_42430378,-73.97791703570648,40.76334557635452
42431544_42440951,-73.97469940577224,40.761983054269024
42431549_42440020,-73.98075479884974,40.76453362089848
42431560_42440960,-73.98643771654966,40.76694191246629
42432580_42430356,-73.97927258831619,40.75859202746702
42432580_42443528,-73.97788669644743,40.757596283264256
42432585_42439996,-73.98393993639529,40.760152027357535
42432585_42428307,-73.98411309003993,40.760634389245695
42432589_42435684,-73.98633367915085,40.7619809585398
42432589_42432594,-73.98798390632248,40.76226468491008
42432594_42432598,-73.99082160574316,40.76345958636273
42432594_42443532,-73.98963011248581,40.762546942288054
42432693_42443556,-73.97971621490647,40.75509811071929
42432693_42430344,-73.98109928195122,40.75609554907326
42432700_42435675,-73.98815714001118,40.75947319256048
42432700_42432703,-73.98980580966716,40.75975846688612
42432703_42432706,-73.99264774299112,40.76095346663955
42432703_42443561,-73.99145351355007,40.76004059405913
42434072_42434074,-73.9782151987847,40.755699702907236
42434072_42432693,-73.97925668293068,40.75572577572383
42434434_42434439,-73.9941642666222,40.75867487284448
42434439_42437371,-73.99470470219059,40.75930209481398
42434439_42437368,-73.99329128521718,40.75870523499848
42435660_42435663,-73.99003372516327,40.75690026829446
42435663_5849918504,-73.98954375165535,40.757572601207734
42435663_42437363,-73.98837016268348,40.75663476989204
42435663_42437368,-73.9912180434767,40.75783440064721
42435671_42439984,-73.98742766168105,40.757936364225685
42435671_42432700,-73.98861432710554,40.75884588331711
42435675_42439990,-73.98650395562768,40.75919194414207
42435675_42435677,-73.98770051658715,40.76009684276488
42435677_42445020,-73.98889598594695,40.761006445088604
42435677_42435680,-73.9872467314154,40.76072281754396
42435680_42428305,-73.98591939580174,40.760574210220845
42435680_42432589,-73.98679475892257,40.76135414555545
42435684_42435687,-73.9858745983566,40.76260484880594
42435684_42428308,-73.98509953088852,40.761872596281464
42435687_42445025,-73.98706878102955,40.76351404529738
42435687_42435702,-73.98542094397735,40.76323609572698
42435702_42428312,-73.98422622256138,40.76314970279858
42435702_42435705,-73.98496615133539,40.76385706073776
42435705_42435707,-73.98450505681221,40.764478855034326
42435705_1815133244,-73.98615842955114,40.76476228119255
42435707_42428315,-73.98339413798308,40.76442576284519
42435707_42435710,-73.98404414357766,40.76511837947844
42435710_42431556,-73.98359874261459,40.76573574446885
42435710_42440960,-73.98524515019837,40.76603646540132
42436700_42430367,-73.97745310866178,40.76109278297798
42436700_42446353,-73.97606552795466,40.76010307376276
42436701_42436700,-73.97503778720242,40.76006988898908
42437358_42430333,-73.9824990807464,40.7541599539828
42437358_42432436,-73.98112972569115,40.753148181672636
42437358_42445916,-73.98008158408227,40.75315055001625
42437363_42439972,-73.9871980632001,40.75570463476218
42437363_42428287,-73.98668664206271,40.75592832870646
42437363_42435663,-73.98837016268348,40.75663476989204
42437368_42434439,-73.99329128521718,40.75870523499848
42437368_42445001,-73.99286084618635,40.7581373831699
42437368_42435663,-73.9912180434767,40.75783440064721
42437371_42434439,-73.99470470219059,40.75930209481398
42438881_42432580,-73.97685539745126,40.757572756048276
42439981_5849918504,-73.9878771821397,40.75731053564824
42439981_42437363,-73.98670392246825,40.75637339968479
42439984_42439981,-73.98623482514232,40.757026217739444
42439984_42430342,-73.98458876946547,40.75674292033517
42439990_42428297,-73.98530645504684,40.7582800678345
