region_name,centroid_lat,centroid_lon
West 57th Street,40.76972515110901,-73.99000904224125
9th Avenue,40.76846123811777,-73.98525831245139
West 57th Street (2),40.76721740153494,-73.98428672139718
8th Avenue,40.766374804420806,-73.98305073436266
West 57th Street (3),40.76487868015151,-73.97849826055555
West 58th Street,40.766220471910636,-73.9795809280721
8th Avenue (2),40.767452243542515,-73.98239467865632
Broadway,40.76680608253762,-73.98176983349586
8th Avenue (3),40.76544033097741,-73.9838072225135
West 55th Street,40.76606009848429,-73.98533609126885
West 54th Street,40.76422195112358,-73.98291535980195
West 54th Street (2),40.76485117946027,-73.98442514642825
West 54th Street (3),40.76599016678057,-73.98721850484128
West 54th Street (4),40.76713826201319,-73.9899201368834
10th Avenue,40.76841601472079,-73.98917356290178
10th Avenue (2),40.76644030023824,-73.99051896636614
West 53rd Street,40.76530072300931,-73.98748441758165
West 53rd Street (2),40.763361254182556,-73.98293758632525
West 54th Street (5),40.76241734049507,-73.97871036252727
7th Avenue,40.76479523679252,-73.98054181436444
Avenue of the Americas,40.76360018617675,-73.97775135615352
9th Avenue (2),40.767285712334726,-73.98619760786016
5th Avenue,40.76288337048106,-73.97401115466512
Madison Avenue,40.762224798739354,-73.97247348269532
West 55th Street (2),40.76204245985679,-73.97596310083779
5th Avenue (2),40.76127041081309,-73.9751868696585
East 54th Street,40.76033532723092,-73.97368305978362
East 55th Street,40.75897260256169,-73.96852667478873
East 56th Street,40.75949447832513,-73.96790202019993
3rd Avenue,40.75791866569213,-73.9692170806943
Park Avenue,40.76051256004216,-73.97140050630652
Park Avenue (2),40.75815953668578,-73.97308042462625
East 54th Street (2),40.759006241521476,-73.97029122436759
2nd Avenue,40.756809151882116,-73.96715118375403
East 47th Street,40.753018100513366,-73.96974231902945
2nd Avenue (2),40.75606435826513,-73.96760648674311
3rd Avenue (2),40.75489252184766,-73.97136605688272
East 49th Street,40.757102561745555,-73.97561717284451
Madison Avenue (2),40.758151731949006,-73.97536384098235
East 52nd Street,40.75929574215277,-73.97535756857414
East 53rd Street,40.75980338789971,-73.97429809762129
West 53rd Street (3),40.760924352798305,-73.97706164732428
West 52nd Street,40.760729912826605,-73.97850193528399
West 51st Street,40.759769768152005,-73.97804335383657
West 50th Street,40.759916042591215,-73.98056888779273
West 50th Street (2),40.759127522581444,-73.97860607716065
West 49th Street,40.75837819378083,-73.97883264751032
7th Avenue (2),40.76231182174538,-73.98235087309526
7th Avenue (3),40.76045759022938,-73.98373520114865
West 50th Street (3),40.761412764349394,-73.98416629184857
8th Avenue (4),40.76300129236546,-73.98565621113636
West 50th Street (4),40.76351867053358,-73.98905521061104
10th Avenue (3),40.76520191420853,-73.99150208701151
11th Avenue,40.76564914978572,-73.99479196404639
11th Avenue (2),40.769581549309365,-73.99196198538216
11th Avenue (3),40.768359125303775,-73.99285790030976
7th Avenue (4),40.757992023653394,-73.98554274089645
West 44th Street,40.75732061722462,-73.98614742274616
West 44th Street (2),40.75607169698311,-73.98312096891762
5th Avenue (3),40.75626108415004,-73.97875054293408
Avenue of the Americas (2),40.75798375989381,-73.98179556638802
8th Avenue (5),40.760475383842724,-73.98746749200211
8th Avenue (6),40.761784031658976,-73.98655628299244
9th Avenue (3),40.76139692466323,-73.99047603069576
West 48th Street,40.76224521379023,-73.98967513719946
10th Avenue (4),40.762844145469046,-73.993131554173
West 45th Street,40.76269997251972,-73.99677796625421
West 45th Street (2),40.76070605872923,-73.9921059261262
8th Avenue (7),40.75809864907997,-73.98914168713242
West 44th Street (3),40.75896193599171,-73.98974946293778
West 46th Street,40.7604518650251,-73.98951997950631
East 44th Street,40.75438718116007,-73.97899521667772
East 46th Street,40.75462923556521,-73.97576660910252
West 42nd Street,40.75715131491971,-73.98973983325959
West 42nd Street (2),40.75937465005514,-73.9949084086685
10th Avenue (5),40.76087391410939,-73.99454656246179
West 42nd Street (3),40.754847347410234,-73.98432887374115
East 42nd Street,40.75286860452517,-73.97958098971819
3rd Avenue (3),40.75082086984367,-73.97439256442082
Lexington Avenue,40.753406691730376,-73.97467342447491
2nd Avenue (3),40.7517646802502,-73.97078700349945
2nd Avenue (4),40.74977561106935,-73.9722314172676
3rd Avenue (4),40.74953436479308,-73.97540747202795
Broadway (2),40.75189869998436,-73.98758918354049
7th Avenue (5),40.75476587596252,-73.98788368439517
West 41st Street,40.756033468748335,-73.98898279232799
West 37th Street,40.75343229394664,-73.99076913913154
West 39th Street,40.75533622705525,-73.9911360861962
West 39th Street (2),40.752987975069246,-73.9855396350775
East 39th Street,40.750962515523376,-73.98081512561193
Lexington Avenue (2),40.74962615878463,-73.97740189800733
East 36th Street,40.74770175161442,-73.97866218835091
Madison Avenue (3),40.74772574122358,-73.98302860303804
West 36th Street,40.750370388003006,-73.9851261284427
West 35th Street,40.751584485416736,-73.99008239084795
West 34th Street,40.75216290256489,-73.99365639276147
West 34th Street (2),40.753375707861366,-73.99621761935333
Avenue of the Americas (3),40.7496900563033,-73.98780841836323
3rd Avenue (5),40.75323085896139,-73.97263134931434
East 51st Street,40.7563753516526,-73.970145765918
East 57th Street,40.76099948750952,-73.96924280625765
7th Avenue (6),40.75923640670249,-73.9845413680283
11th Avenue (4),40.76141229805711,-73.99779318080581
East 39th Street (2),40.751545021325384,-73.98215718977835
East 37th Street,40.74894064451793,-73.97994445198096
East 36th Street (2),40.74905989364087,-73.98200184636929
Lexington Avenue (3),40.746458468152184,-73.97971689658822
East 35th Street,40.74589755571958,-73.97671511893519
